,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
47,0.46,0.026505,0.038528,0.12979,0.074057,0.055735,0.04,350.0,0.735,0.02016,0.030919,0.10181,0.059101,0.042711,0.065,350.0,0.735,0.013007,0.021736,0.069008,0.041149,0.02786,0.133,350.0,0.735
48,0.47000000000000003,0.026148,0.038119,0.12826,0.073254,0.05501,0.04,350.0,0.735,0.019849,0.030542,0.10044,0.058365,0.042075,0.065,350.0,0.735,0.01277,0.021408,0.067886,0.040518,0.027368,0.133,350.0,0.735
49,0.48,0.025792,0.037712,0.12674,0.072454,0.054288,0.04,350.0,0.735,0.019539,0.030167,0.099076,0.057634,0.041442,0.065,350.0,0.735,0.012536,0.021083,0.066775,0.039894,0.026881,0.133,350.0,0.735
50,0.49,0.025437,0.037307,0.12523,0.071657,0.053568,0.04,350.0,0.735,0.019231,0.029795,0.09772,0.056907,0.040813,0.065,350.0,0.735,0.012303,0.020763,0.065676,0.039278,0.026398,0.133,350.0,0.735
51,0.5,0.025084,0.036904,0.12372,0.070864,0.052852,0.04,350.0,0.735,0.018925,0.029426,0.096373,0.056185,0.040188,0.065,350.0,0.735,0.012072,0.020446,0.064588,0.038668,0.02592,0.133,350.0,0.735
52,0.51,0.024732,0.036503,0.12221,0.070075,0.052137,0.04,350.0,0.735,0.01862,0.029059,0.095034,0.055468,0.039565,0.065,350.0,0.735,0.011844,0.020132,0.063511,0.038065,0.025447,0.133,350.0,0.735
53,0.52,0.024381,0.036104,0.12072,0.06929,0.051426,0.04,350.0,0.735,0.018317,0.028694,0.093702,0.054756,0.038946,0.065,350.0,0.735,0.011617,0.019822,0.062445,0.037468,0.024977,0.133,350.0,0.735
54,0.53,0.024031,0.035707,0.11923,0.068508,0.050717,0.04,350.0,0.735,0.018015,0.028332,0.092379,0.054048,0.038331,0.065,350.0,0.735,0.011393,0.019515,0.06139,0.036878,0.024513,0.133,350.0,0.735
55,0.54,0.023683,0.035311,0.11774,0.06773,0.050011,0.04,350.0,0.735,0.017715,0.027972,0.091063,0.053345,0.037718,0.065,350.0,0.735,0.011171,0.019212,0.060346,0.036294,0.024052,0.133,350.0,0.735
56,0.55,0.023336,0.034917,0.11626,0.066954,0.049307,0.04,350.0,0.735,0.017416,0.027614,0.089754,0.052646,0.037108,0.065,350.0,0.735,0.01095,0.018912,0.059312,0.035716,0.023595,0.133,350.0,0.735
57,0.56,0.02299,0.034525,0.11479,0.066183,0.048606,0.04,350.0,0.735,0.017118,0.027259,0.088453,0.051951,0.036502,0.065,350.0,0.735,0.010731,0.018615,0.058288,0.035145,0.023143,0.133,350.0,0.735
58,0.5700000000000001,0.022646,0.034135,0.11332,0.065415,0.047907,0.04,350.0,0.735,0.016822,0.026906,0.08716,0.051261,0.035899,0.065,350.0,0.735,0.010515,0.018321,0.057274,0.034579,0.022694,0.133,350.0,0.735
59,0.58,0.022302,0.033746,0.11186,0.06465,0.047211,0.04,350.0,0.735,0.016528,0.026555,0.085873,0.050575,0.035298,0.065,350.0,0.735,0.0103,0.018031,0.05627,0.03402,0.02225,0.133,350.0,0.735
60,0.59,0.02196,0.033359,0.1104,0.063888,0.046517,0.04,350.0,0.735,0.016235,0.026207,0.084594,0.049893,0.034701,0.065,350.0,0.735,0.010086,0.017743,0.055275,0.033466,0.021809,0.133,350.0,0.735
61,0.6,0.021618,0.032974,0.10895,0.063129,0.045825,0.04,350.0,0.735,0.015943,0.02586,0.083322,0.049216,0.034106,0.065,350.0,0.735,0.0098747,0.017459,0.05429,0.032918,0.021372,0.133,350.0,0.735
