Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
40,0.39,0.012261036285276387,0.022663056631265055,0.0692472762512827,0.04259338837488723,0.026653887876395478,0.06,103.0,0.43672,0.84753,0.01001935031910673,0.0188717452832283,0.057323392227262925,0.035465299783591205,0.021858092443671696,0.09,103.0,0.43672,0.95199,0.007667777972631317,0.014925323584522676,0.04452379437940673,0.02778597932523161,0.016737815054175105,0.13,103.0,0.43672,1.0803,0.98
41,0.4,0.012145286144432164,0.022516516270110084,0.06873430640999395,0.0423051955337928,0.02642911087620117,0.06,103.0,0.43672,0.84926,0.009844552520218037,0.018627024092163002,0.056495381684562224,0.03498804497126793,0.021507336713294283,0.09,103.0,0.43672,0.95331,0.007545949847911651,0.01474788144393422,0.04389398334567175,0.027427974537057195,0.01646600880861455,0.13,103.0,0.43672,1.0824,0.98
42,0.41,0.012013257139807745,0.022320115273782932,0.06805965505213889,0.0419212579283984,0.026138397123740498,0.06,103.0,0.43672,0.85266,0.009716310381475541,0.018465210226224403,0.05589383123202649,0.034661793907437746,0.021232037324588754,0.09,103.0,0.43672,0.95575,0.007463444690895462,0.014584839504983084,0.043432158957026804,0.027129055502732896,0.016303103454293918,0.13,103.0,0.43672,1.0849,0.98
43,0.42,0.011795228970882917,0.022045411429271463,0.06711827413287708,0.04140417425671714,0.02571409987615992,0.06,103.0,0.43672,0.8557,0.009636975486867223,0.018304929084184372,0.05545529982772462,0.034383637711415053,0.021071662116309575,0.09,103.0,0.43672,0.95939,0.007373320013421641,0.014443605704745864,0.04295811212586421,0.026857578700997958,0.016100533424866247,0.13,103.0,0.43672,1.0894,0.98
44,0.43,0.011718466010467365,0.021930848809685797,0.06667377721519281,0.041145959292319643,0.025527817922873168,0.06,103.0,0.43672,0.85904,0.009486537872493794,0.018112166382928147,0.054776165751003116,0.03400568952533087,0.020770476225672248,0.09,103.0,0.43672,0.96166,0.007253953491577429,0.014291972533924769,0.04243500992856766,0.026571842651154455,0.015863167277413215,0.13,103.0,0.43672,1.0923,0.98
45,0.44,0.011597566115013926,0.021772757737361963,0.06613840143710344,0.04085091820677016,0.025287483230333262,0.06,103.0,0.43672,0.86304,0.009385924594077081,0.017951311175708865,0.0542600256348433,0.033705633558131616,0.020554392076711697,0.09,103.0,0.43672,0.96464,0.007169312417670623,0.014131946147091153,0.04194352138982589,0.026266758256689077,0.01567676313313682,0.13,103.0,0.43672,1.0932,0.98
46,0.45,0.011445393196182187,0.021573568666711212,0.06547110665447432,0.040491227615635936,0.02497987903883837,0.06,103.0,0.43672,0.86549,0.009247197479682561,0.017760775661615165,0.05360345116993615,0.03333569608646947,0.020267755083466687,0.09,103.0,0.43672,0.96751,0.007079525965099139,0.013977236861517946,0.041495652982289896,0.02599066921593971,0.015504983766350185,0.13,103.0,0.43672,1.0924,0.98
47,0.46,0.01130319517121584,0.021412860501582722,0.06485804914718425,0.0401703051199027,0.024687744027281563,0.06,103.0,0.43672,0.86692,0.009142311380810984,0.01762762422437744,0.053124841987295966,0.033072215949912706,0.020052626037383274,0.09,103.0,0.43672,0.96989,0.006979227267285934,0.013821214601299264,0.04097004845463793,0.025690759324777976,0.015279289129859961,0.13,103.0,0.43672,1.0991,0.98
48,0.47,0.0111967605752907,0.02124871378015026,0.06429005111219689,0.03984316563936246,0.024446885472834447,0.06,103.0,0.43672,0.87056,0.009050793189886101,0.01747779604045544,0.05267382016233166,0.032803118988044146,0.019870701174287523,0.09,103.0,0.43672,0.973,0.006878767946097283,0.013672454911942033,0.040465144898068545,0.02539772835018121,0.015067416547887333,0.13,103.0,0.43672,1.0991,0.98
49,0.48,0.010945524489730974,0.020980350780928702,0.06327120936107597,0.039315241894813044,0.023955967466262922,0.06,103.0,0.43672,0.87575,0.008904665421450976,0.01725886877367281,0.051926305099873234,0.03236902965448509,0.019557275445388142,0.09,103.0,0.43672,0.97496,0.006770151592860735,0.013519938395037925,0.03995963481372095,0.02511325973274931,0.014846375080971634,0.13,103.0,0.43672,1.1029,0.98
50,0.49,0.010846797367444184,0.020820144581646466,0.06277029781489102,0.03902559663685254,0.023744701178038476,0.06,103.0,0.43672,0.8804,0.008808115503633389,0.017118500343763682,0.05146615360240802,0.03211078766333792,0.019355365939070102,0.09,103.0,0.43672,0.97998,0.00667862332193405,0.013389122040332713,0.03953838664635204,0.024870311284507212,0.01466807536184483,0.13,103.0,0.43672,1.1039,0.98
51,0.5,0.010790271703484606,0.020694356323424427,0.06240573295703524,0.03877584990494531,0.023629883052089927,0.06,103.0,0.43672,0.88046,0.008704551499831042,0.016966129400028736,0.05093873369484499,0.0318119429762681,0.019126790718576894,0.09,103.0,0.43672,0.9829,0.006593841148614761,0.013244188465153855,0.03907568476578861,0.024598438831779455,0.014477245934009151,0.13,103.0,0.43672,1.1094,0.98
52,0.51,0.010551439572774405,0.020431272584758388,0.06139495948400277,0.03825536496469877,0.023139594519304,0.06,103.0,0.43672,0.88446,0.008561306481042266,0.01679068525290387,0.05030829670041172,0.031468659925753845,0.018839636774657876,0.09,103.0,0.43672,0.98499,0.006490486244030058,0.013094163974733116,0.03857024844652714,0.024310772302867673,0.014259476143659473,0.13,103.0,0.43672,1.1099,0.98
53,0.52,0.010433085791574969,0.02027529634483279,0.060905722812910054,0.03798643433904892,0.022919288473861134,0.06,103.0,0.43672,0.88774,0.008467108985761725,0.016645940411255233,0.049815451650464075,0.031184828979529882,0.018630622670934203,0.09,103.0,0.43672,0.9903,0.006393297033461039,0.012919856954763826,0.038044530343517485,0.023982324003870494,0.014062206339646992,0.13,103.0,0.43672,1.1127,0.98
54,0.53,0.010365522389209863,0.020139931559447,0.06047635206075737,0.03772121412089376,0.02275513793986359,0.06,103.0,0.43672,0.89323,0.008354770950086588,0.016476790793369694,0.0493013021856956,0.030881975802519692,0.01841932638317591,0.09,103.0,0.43672,0.99197,0.006320446157019335,0.01280119313651237,0.03764603893453284,0.023749149243510244,0.0138968896910226,0.13,103.0,0.43672,1.1156,0.98
55,0.54,0.010157336227181455,0.019928976692652582,0.059649299891590506,0.03729818790083573,0.022351111990754784,0.06,103.0,0.43672,0.89573,0.008234893811737448,0.016313674223818176,0.04868318560311497,0.030538238874939592,0.018144946728175383,0.09,103.0,0.43672,0.99483,0.006217237482987648,0.01264649623596356,0.03713258937932951,0.023456799842124176,0.01367578953720534,0.13,103.0,0.43672,1.1182,0.98
56,0.55,0.010094027820701288,0.019814460452517075,0.05925263947808666,0.037061580826036,0.022191058652050673,0.06,103.0,0.43672,0.89836,0.008088081085570397,0.016134433890759883,0.04808874086994467,0.030212625476373208,0.01787611539357146,0.09,103.0,0.43672,0.99835,0.00613992423465727,0.012517048379931808,0.0367448271468801,0.02321957266975108,0.013525254477129024,0.13,103.0,0.43672,1.1218,0.98
57,0.56,0.009934416792100432,0.01960970908237848,0.05856846339692403,0.03668996658257315,0.021878496814350883,0.06,103.0,0.43672,0.90379,0.007999839912266256,0.016001208693036992,0.047596491806349554,0.029935247994147426,0.01766124381220212,0.09,103.0,0.43672,1.0012,0.006026738761432804,0.012357715823771475,0.03621930474820376,0.022923292761490948,0.013296011986712805,0.13,103.0,0.43672,1.1236,0.98
