Wavelength (nm),P-Polarized,S-Polarized
598,17.48821068,22.51476669
599,17.67268181,22.71876907
600,17.86940193,22.93636131
601,18.06913757,23.15854836
602,18.27833557,23.38742256
603,18.49454308,23.63704491
604,18.71454048,23.88294411
605,18.94354439,24.15942764
606,19.18121719,24.40739441
607,19.41994286,24.6804142
608,19.66830254,24.95907021
609,19.92145157,25.24568176
610,20.17947578,25.51588058
611,20.44882774,25.83377457
612,20.72011948,26.13716125
613,21.00175667,26.44182396
614,21.28103447,26.75146484
615,21.56959152,27.08965302
616,21.85928726,27.40450478
617,22.16109276,27.73220253
618,22.46237183,28.05785561
619,22.76473808,28.38943291
620,23.07995796,28.73800468
621,23.39526749,29.08952332
622,23.71586037,29.44223213
623,24.03523254,29.76514626
624,24.36026573,30.11779785
625,24.69298363,30.49587822
626,25.02126122,30.82579994
627,25.35430145,31.20530319
628,25.69240952,31.5531559
629,26.02779007,31.90325165
630,26.37034607,32.26749802
631,26.71022987,32.62260437
632,27.05200386,32.99045563
633,27.39673805,33.32881165
634,27.74041557,33.67194748
635,28.08068466,34.0265274
636,28.42251015,34.3845253
637,28.7623024,34.70509338
638,29.10313034,35.04793167
639,29.44047737,35.38928604
640,29.77450562,35.71423721
641,30.11110687,36.05331421
642,30.4410305,36.37387848
643,30.7643261,36.67525482
644,31.0898056,36.99789047
645,31.40790749,37.30434036
646,31.72402,37.59087753
647,32.04011154,37.87504578
648,32.34621429,38.15337372
649,32.64929199,38.43214035
650,32.94647217,38.68774414
651,33.23760605,38.95145416
652,33.51963043,39.19183731
653,33.8014183,39.434021
654,34.07341385,39.6411972
655,34.33790207,39.86808395
656,34.59641647,40.08369827
657,34.84805679,40.26568985
658,35.09018326,40.4636116
659,35.32598114,40.65431595
660,35.55926514,40.82114792
661,35.78201675,40.98244095
662,35.99205399,41.12972641
663,36.19882584,41.27594376
664,36.39758682,41.41217041
665,36.58876419,41.53422546
666,36.77127075,41.66327286
667,36.94575882,41.7587471
668,37.11578751,41.86759186
669,37.27978897,41.95310974
670,37.43402863,42.03652573
671,37.57504272,42.10904312
672,37.71121979,42.17491531
673,37.84418488,42.2040863
674,37.96802902,42.28157806
675,38.08645248,42.31571198
676,38.19478226,42.34045029
677,38.29889297,42.3834877
678,38.38696289,42.38119507
679,38.47768784,42.39987564
680,38.56757736,42.42082977
681,38.63841629,42.40480423
682,38.71530151,42.4127655
683,38.78342056,42.41819
684,38.84344101,42.39326477
685,38.90118408,42.38581848
686,38.95683289,42.35544205
687,39.00330353,42.33175659
688,39.04802322,42.28651047
689,39.09009933,42.26963043
690,39.12695313,42.21542358
691,39.16101456,42.17098236
692,39.18674469,42.13491058
693,39.22079468,42.12498474
694,39.24280548,42.04934692
695,39.26400757,42.00370789
696,39.27877808,41.94396591
697,39.29442596,41.8959465
698,39.30962753,41.83640289
699,39.32098007,41.78203201
700,39.32831573,41.73662186
701,39.33338165,41.67456818
702,39.34508133,41.60813522
703,39.35276413,41.56294632
704,39.36215973,41.51506424
705,39.35742188,41.43239975
706,39.36145401,41.38946533
707,39.35888672,41.31892395
708,39.35931778,41.25756454
709,39.36278915,41.20663834
710,39.36004639,41.13890457
711,39.35842896,41.06860733
712,39.35344315,41.01462936
713,39.36008453,41.00159836
714,39.35505295,40.92082214
715,39.35389709,40.85881042
716,39.35226059,40.79792023
717,39.3459053,40.75041962
718,39.34746552,40.70926666
719,39.34882736,40.65371704
720,39.36968994,40.54979324
721,39.36152267,40.4932251
722,39.33738327,40.44244003
723,39.35178757,40.39610672
724,39.34548187,40.34497452
725,39.33829498,40.29417038
726,39.35664368,40.25611877
727,39.3466301,40.21079636
728,39.35992813,40.16216278
729,39.37109756,40.12442017
730,39.37509537,40.08324814
731,39.38661575,40.05392075
732,39.35779572,40.00901413
733,39.38051224,39.97129059
734,39.36521912,39.92805862
735,39.39117813,39.90065002
736,39.39339447,39.8621788
737,39.41752243,39.83419037
738,39.40753174,39.80157852
739,39.40694427,39.76664734
740,39.4184494,39.73905182
741,39.4309082,39.71401596
742,39.43446732,39.68156433
743,39.43185425,39.66179657
744,39.46232605,39.63858414
745,39.48006439,39.62349701
746,39.47714615,39.59931564
747,39.47815323,39.57539749
748,39.50705719,39.55935669
749,39.51202011,39.541008
750,39.53229904,39.52985764
751,39.54279327,39.51148224
752,39.54867935,39.49559402
753,39.54653931,39.48558044
754,39.57208252,39.46709442
755,39.57571793,39.45397186
756,39.5822258,39.44109726
757,39.62395477,39.43309784
758,39.62016296,39.41652298
759,39.64403152,39.41015244
760,39.64644241,39.40061569
761,39.66804504,39.38961029
762,39.68507767,39.37719345
763,39.70097733,39.37157059
764,39.72549057,39.35939789
765,39.75623703,39.35441589
766,39.75187683,39.3463974
767,39.77540207,39.33362198
768,39.7767334,39.32631302
769,39.79185867,39.31743622
770,39.80007172,39.31258774
771,39.81357956,39.30132294
772,39.85308075,39.29682922
773,39.86358643,39.29281616
774,39.87506104,39.28237915
775,39.89601898,39.27838135
776,39.92567062,39.27373123
777,39.93151093,39.26728821
778,39.93923569,39.26427841
779,39.96588898,39.26150131
780,40.00094986,39.2546196
781,39.98513794,39.2523613
782,40.01415253,39.25030136
783,40.03172684,39.2461586
784,40.02755737,39.2375679
785,40.02873611,39.24342346
786,40.07200623,39.24095917
787,40.08496094,39.23752594
788,40.10734177,39.23544693
789,40.10567474,39.23630524
790,40.14661407,39.23922348
791,40.16159821,39.23408127
792,40.16133881,39.23551941
793,40.18401718,39.23937225
794,40.20605469,39.23765564
795,40.22182083,39.24528885
796,40.23898697,39.24174118
797,40.26702118,39.24745941
798,40.27069092,39.24361801
799,40.25707245,39.24797058
800,40.28655624,39.2449379
