,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
58,0.57,0.0070868,0.011068,0.036083,0.021072,0.015011,0.12,350.0,0.735,0.0056263,0.0090434,0.029112,0.017157,0.011955,0.15,350.0,0.735,0.0033877,0.0060447,0.018624,0.011332,0.007292,0.25,350.0,0.735,0.99
59,0.58,0.0069798,0.010918,0.035572,0.020784,0.014788,0.12,350.0,0.735,0.0055371,0.0089109,0.028672,0.016904,0.011768,0.15,350.0,0.735,0.003323,0.0059339,0.018278,0.011124,0.0071539,0.25,350.0,0.735,0.99
60,0.59,0.0068739,0.010769,0.035067,0.020499,0.014568,0.12,350.0,0.735,0.005449,0.0087801,0.028238,0.016654,0.011584,0.15,350.0,0.735,0.0032595,0.0058251,0.017938,0.010919,0.0070181,0.25,350.0,0.735,0.99
61,0.6,0.006769,0.010623,0.034567,0.020217,0.01435,0.12,350.0,0.735,0.005362,0.0086511,0.027809,0.016408,0.011401,0.15,350.0,0.735,0.003197,0.0057182,0.017603,0.010718,0.0068847,0.25,350.0,0.735,0.99
62,0.61,0.0066652,0.010478,0.034073,0.019939,0.014134,0.12,350.0,0.735,0.005276,0.0085237,0.027385,0.016164,0.011221,0.15,350.0,0.735,0.0031356,0.0056132,0.017274,0.010521,0.0067535,0.25,350.0,0.735,0.99
63,0.62,0.0065625,0.010334,0.033583,0.019663,0.01392,0.12,350.0,0.735,0.005191,0.008398,0.026967,0.015924,0.011043,0.15,350.0,0.735,0.0030752,0.00551,0.016951,0.010327,0.0066245,0.25,350.0,0.735,0.99
64,0.63,0.0064607,0.010193,0.0331,0.019391,0.013709,0.12,350.0,0.735,0.005107,0.0082739,0.026554,0.015687,0.010867,0.15,350.0,0.735,0.0030158,0.0054087,0.016634,0.010136,0.0064977,0.25,350.0,0.735,0.99
65,0.64,0.00636,0.010053,0.032621,0.019122,0.013499,0.12,350.0,0.735,0.0050241,0.0081514,0.026147,0.015453,0.010693,0.15,350.0,0.735,0.0029574,0.0053091,0.016322,0.009949,0.0063731,0.25,350.0,0.735,0.99
66,0.65,0.0062602,0.009914,0.032147,0.018855,0.013292,0.12,350.0,0.735,0.004942,0.0080305,0.025744,0.015222,0.010521,0.15,350.0,0.735,0.0029,0.0052113,0.016016,0.0097651,0.0062505,0.25,350.0,0.735,0.99
67,0.66,0.0061614,0.0097769,0.031678,0.018592,0.013087,0.12,350.0,0.735,0.004861,0.0079111,0.025346,0.014994,0.010352,0.15,350.0,0.735,0.0028435,0.0051151,0.015714,0.0095843,0.0061301,0.25,350.0,0.735,0.99
