,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
182,1.81,0.00010396,0.0037678,0.0055828,0.0052852,0.00029761,1.1,7.5,0.04815,0.00035396,0.0075149,0.011975,0.011015,0.00096014,0.75,7.5,0.04815,0.00017372,0.0047317,0.007279,0.0067955,0.00048344,0.9,7.5,0.04815
183,1.82,0.00010255,0.0037055,0.0054888,0.0051958,0.00029297,1.1,7.5,0.04815,0.00035093,0.0074226,0.011826,0.010876,0.0009499,0.75,7.5,0.04815,0.00017187,0.0046648,0.0071743,0.006697,0.00047726,0.9,7.5,0.04815
184,1.83,0.00010117,0.0036442,0.0053964,0.005108,0.00028842,1.1,7.5,0.04815,0.00034796,0.0073315,0.011679,0.010739,0.00093984,0.75,7.5,0.04815,0.00017006,0.0045989,0.0070711,0.0065999,0.0004712,0.9,7.5,0.04815
185,1.84,9.9816e-05,0.003584,0.0053057,0.0050217,0.00028396,1.1,7.5,0.04815,0.00034504,0.0072416,0.011533,0.010603,0.00092996,0.75,7.5,0.04815,0.00016829,0.004534,0.0069696,0.0065044,0.00046525,0.9,7.5,0.04815
186,1.85,9.8497e-05,0.0035248,0.0052166,0.004937,0.0002796,1.1,7.5,0.04815,0.00034219,0.0071528,0.01139,0.01047,0.00092024,0.75,7.5,0.04815,0.00016656,0.00447,0.0068697,0.0064102,0.00045942,0.9,7.5,0.04815
187,1.86,9.7208e-05,0.0034666,0.005129,0.0048537,0.00027533,1.1,7.5,0.04815,0.00033941,0.0070651,0.011249,0.010338,0.0009107,0.75,7.5,0.04815,0.00016487,0.0044069,0.0067713,0.0063176,0.00045369,0.9,7.5,0.04815
188,1.87,9.5949e-05,0.0034094,0.0050431,0.0047719,0.00027115,1.1,7.5,0.04815,0.00033667,0.0069786,0.011109,0.010208,0.00090133,0.75,7.5,0.04815,0.00016321,0.0043448,0.0066744,0.0062263,0.00044808,0.9,7.5,0.04815
189,1.8800000000000001,9.472e-05,0.0033532,0.0049586,0.0046915,0.00026706,1.1,7.5,0.04815,0.000334,0.0068931,0.010972,0.01008,0.00089212,0.75,7.5,0.04815,0.00016159,0.0042835,0.006579,0.0061364,0.00044257,0.9,7.5,0.04815
190,1.8900000000000001,9.3521e-05,0.0032979,0.0048756,0.0046126,0.00026305,1.1,7.5,0.04815,0.00033139,0.0068087,0.010836,0.0099531,0.00088307,0.75,7.5,0.04815,0.00016001,0.0042232,0.0064851,0.0060479,0.00043717,0.9,7.5,0.04815
191,1.9000000000000001,9.2349e-05,0.0032436,0.0047941,0.004535,0.00025913,1.1,7.5,0.04815,0.00032883,0.0067254,0.010702,0.0098282,0.00087419,0.75,7.5,0.04815,0.00015847,0.0041637,0.0063926,0.0059607,0.00043188,0.9,7.5,0.04815
