,Zenith angle (°),"Radiance raw, -1e-05 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, -1e-05 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, -1e-05 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 603 nm (W sr-1 m-2 nm-1)"
10,10.0,0.04502918902207525,0.03604127795337546,0.03102019946799233,0.04350018156871109,0.0351584809193553,0.029215951123418665,,0.024268352112950337,,0.01974273281095397,,0.015492220886762373,,0.016161666907960538,,0.013114938988004806,,0.009658937787783924,,0.010749882127087983,,0.008537642801332991,,0.005770247116578601,,0.007678502066041162,,0.006030378404575527,,0.0038170708135176795,,0.006931022132779685,,0.005430902669810495,,0.0033261920557407995,,0.006255755143712575,,0.004880784954786969,,0.0029281369359102365,,0.005049585543544045,,0.003980588269311863,,0.002333025399599759,,0.004715795168368331,,0.0037220410160225103,,0.0021698772789578795,,0.004645551591382656,,0.0036765000231106892,,0.0021410582633384235,,0.00386154773969805,,0.003111911958678307,,0.001776542839986474
11,10.999999999999998,0.04465029997848066,0.0355286936722819,0.030220374543395486,0.03950196733509037,0.03201972050397409,0.026827139377184662,,0.024222866491192506,,0.01970640828930431,,0.015456269736044439,,0.016148531661742502,,0.013103981671040769,,0.00964621455894377,,0.010750927201081267,,0.008537813780431761,,0.005767624205587499,,0.007677902509227207,,0.006029905599711041,,0.003815008951304971,,0.006928027240458944,,0.005428544654640188,,0.0033232190708992982,,0.006249706968261954,,0.004876372031861052,,0.0029240554552686818,,0.005047252807388606,,0.003979161755209099,,0.002330878276243035,,0.004712936718166684,,0.0037201579124752798,,0.002167520572093599,,0.004643219259436219,,0.0036749211967679225,,0.0021389034211859712,,0.0038586346253770606,,0.003109744064287615,,0.0017743798602035535
12,12.0,0.043943087742532964,0.0350507579691806,0.03020533111964453,0.03834823393332438,0.031158461839115626,0.02697686625873214,,0.02417321993845864,,0.019666751212656524,,0.015417037930934489,,0.016134111472920903,,0.013091949955256685,,0.00963227879119543,,0.010751976682351986,,0.008537929945480829,,0.00576471683788785,,0.007677182954064914,,0.006029337642527299,,0.0038127285420986967,,0.006924698417932463,,0.005425923651994876,,0.003319948693733848,,0.006243059746323373,,0.004871518621463978,,0.002919582471934506,,0.005044651204614547,,0.00397755891254001,,0.0023285122735157257,,0.004709770200274554,,0.003718064155319806,,0.002164930430713129,,0.004640625022455037,,0.003673158441108636,,0.0021365328659367767,,0.003855411308806611,,0.003107341886383214,,0.0017720027681967106
13,13.000000000000002,0.0439332800675626,0.035421659994417945,0.030522168567491605,0.039901921872899516,0.032704699952188034,0.028124621192956088,,0.024119458398337554,,0.019623795715825267,,0.015374563922422549,,0.016118397594173935,,0.013078835880300859,,0.009617130501070109,,0.010753005458669203,,0.008537972534386614,,0.005761515926057076,,0.007676326793965295,,0.006028661298334592,,0.0038102237652425297,,0.0069210228254529505,,0.005423029535431978,,0.003316377202720654,,0.00623580747732662,,0.004866219444295909,,0.0029147173131548027,,0.005041768423663781,,0.003975769063647716,,0.002325923623534107,,0.004706286174139042,,0.00371575148657809,,0.002162104513888058,,0.004637758389762648,,0.003671202898077757,,0.0021339438565455057,,0.0038518691617648354,,0.0031046980940593817,,0.0017694094476859087
14,14.0,0.044778460693710505,0.03598398992200684,0.03091646265914727,0.041102092119300715,0.03315666969939799,0.028347047902904866,,0.024061631507400007,,0.01957757869482555,,0.01532888923774975,,0.01610138073847405,,0.013064630986979808,,0.009600769807060568,,0.010753986590064315,,0.008537921422777336,,0.005758011748388853,,0.007675316212881067,,0.006027862368177651,,0.0038074883916831446,,0.006916986696530061,,0.005419851448076442,,0.0033125006234244175,,0.006227943758935307,,0.004860468861468291,,0.0029094592853886885,,0.00503859126462123,,0.003973780756531186,,0.0023231082980362436,,0.004702474520778313,,0.0037132110507355123,,0.002159040324176687,,0.004634608111869606,,0.0036690450662467382,,0.0021311334649547027,,0.003847998937364905,,0.0031018048285204967,,0.0017665976397698078
15,14.999999999999998,0.045293956395023136,0.03680683727425625,0.03151200765484699,0.04146676655897645,0.033641872606219224,0.029096383391188856,,0.023999792521411517,,0.019528139756223813,,0.01528005841518754,,0.01608305113225977,,0.013049326363805226,,0.009583196953677417,,0.010754891394820231,,0.008537755189035578,,0.005754193986495295,,0.007674132242003005,,0.0060269257339290675,,0.003804515807555423,,0.006912575383792115,,0.005416377838902631,,0.0033083147455499305,,0.006219461815990307,,0.004854260898502945,,0.002903807683361983,,0.005035105683244541,,0.003971581802100744,,0.0023200620246085243,,0.004698324477216257,,0.0037104334238814533,,0.0021557352189682456,,0.004631162217558175,,0.0036666748314915718,,0.0021280985884793396,,0.003843790801860473,,0.0030986537295665233,,0.0017635649529139223
16,16.0,0.046571555807281693,0.03778762566321987,0.032067290354526545,0.04213285960638057,0.03426870728670541,0.029425425568046913,,0.023933998236329364,,0.019475521162876295,,0.015228118934233485,,0.016063398572050615,,0.013032912696559247,,0.009564412337007578,,0.01075568954116131,,0.008537451183640393,,0.005750051765374614,,0.007672754820223846,,0.006025835406379839,,0.003801299039319447,,0.0069077734078959105,,0.005412596501426793,,0.003303815141112615,,0.006210354531350807,,0.004847589270908327,,0.0028977617996994616,,0.005031296837916584,,0.0039691593139097045,,0.0023167803039784215,,0.004693824673204566,,0.0037074086447889598,,0.0021521864225705263,,0.0046274080534338445,,0.0036640814997137196,,0.0021248359630049443,,0.003839234368563288,,0.0030952359638393686,,0.00176030887359517
17,17.0,0.04563029103575551,0.037539400928888085,0.031807524658995855,0.044244687026483404,0.03586931616212782,0.03072282971832438,,0.02386430890423731,,0.019419767776153063,,0.015173121141365237,,0.016042412484325697,,0.013015380320721649,,0.00954441653168144,,0.010756349144382489,,0.0085369856026207,,0.005745573695823865,,0.007671162858199181,,0.006024574576191528,,0.0037978307803749377,,0.006902564509346787,,0.005408494614700854,,0.0032989971836736077,,0.006200614478540214,,0.0048404474112569516,,0.0028913209351021712,,0.005027149139387593,,0.003966499750250143,,0.002313258428322026,,0.0046889631701284365,,0.0037041262478463574,,0.0021483910390044996,,0.004623332325832653,,0.0036612538315126206,,0.002121342176959992,,0.003834318733776987,,0.003091542254750599,,0.0017568267775711541
18,18.0,0.04562925307613421,0.03710087238047283,0.03243053601052894,0.04501944069436355,0.03643676639330041,0.031249588640869772,,0.02379078814438132,,0.019360926994752278,,0.015115118171503149,,0.016020081988475432,,0.012996719276593323,,0.00952321031914985,,0.010756836869140387,,0.00853633356490991,,0.005740747919069277,,0.007669334305824554,,0.006023125667566413,,0.00379410341907439,,0.006896931703082804,,0.005404058786491787,,0.0032938560685817596,,0.006190233956098761,,0.004832828497683369,,0.0028844844090353643,,0.005022646303165837,,0.003963588958494132,,0.0023094915005318463,,0.004683727501985917,,0.003700575297748505,,0.002144346065467359,,0.004618921144966653,,0.003658180078712955,,0.002117613686020905,,0.003829032514645344,,0.00308756291400628,,0.0017531159417406299
19,19.0,0.04615894443303249,0.03720526110415819,0.032648999946649264,0.04512639014544598,0.03692470345584386,0.03146141690635331,0.023382642808338582,0.02371350284947853,0.020143149110068266,0.01929904869021508,0.015150901107097504,0.015054165865340363,0.014769579588919212,0.01599639596262627,0.012480933746013067,0.012976919366941618,0.008705359444548717,0.00950079471716678,0.009871315432347073,0.010757118036614357,0.008129357935434288,0.008535469193380434,0.005224101376097923,0.0057355621534798265,0.007004759852336104,0.007667246222938349,0.005789639973963295,0.0060214703944842796,0.003473864618179704,0.003790109068051932,0.006385363060250305,0.006890857335669118,0.005259341921090236,0.005399275098524539,0.003032117761196747,0.0032883868341618432,0.005773749097409252,0.0061792050235393,0.004664230753204051,0.004824725483717841,0.002696319214051829,0.00287725157089082,0.004455319587670792,0.00501777140440821,0.0037161722327656395,0.003960412221555371,0.0020861404451848553,0.0023054744543874505,0.004180765526168542,0.00467810471832502,0.003442456624459956,0.0036967444258504062,0.0019050215255292683,0.002140048406423343,0.004144153905470557,0.004614160071183526,0.0034213564356852452,0.003654848022644632,0.0018719863149390483,0.0021136468285057886,0.0034671951459479874,0.0038233638888077928,0.0028765224812614997,0.0030832878746401464,0.0015530054126486384,0.0017491735565598396
