,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
50,0.49,0.024422,0.036317,0.1212,0.069665,0.051539,0.043,350.0,0.735,0.019582,0.030071,0.098969,0.057474,0.041494,0.065,350.0,0.735,0.012415,0.020845,0.066062,0.039448,0.026614,0.133,350.0,0.735
51,0.5,0.024069,0.035912,0.11969,0.068869,0.050822,0.043,350.0,0.735,0.019278,0.029704,0.097631,0.056757,0.040874,0.065,350.0,0.735,0.012186,0.020528,0.064978,0.038839,0.026139,0.133,350.0,0.735
52,0.51,0.023717,0.035509,0.11818,0.068076,0.050108,0.043,350.0,0.735,0.018976,0.029338,0.096301,0.056044,0.040257,0.065,350.0,0.735,0.011959,0.020215,0.063905,0.038238,0.025667,0.133,350.0,0.735
53,0.52,0.023366,0.035108,0.11668,0.067288,0.049396,0.043,350.0,0.735,0.018676,0.028976,0.09498,0.055336,0.039644,0.065,350.0,0.735,0.011734,0.019906,0.062844,0.037643,0.025201,0.133,350.0,0.735
54,0.53,0.023017,0.034709,0.11519,0.066503,0.048687,0.043,350.0,0.735,0.018377,0.028616,0.093666,0.054632,0.039034,0.065,350.0,0.735,0.011511,0.0196,0.061793,0.037054,0.024738,0.133,350.0,0.735
55,0.54,0.022669,0.034311,0.1137,0.065722,0.047981,0.043,350.0,0.735,0.01808,0.028258,0.09236,0.053933,0.038427,0.065,350.0,0.735,0.011289,0.019298,0.060752,0.036472,0.02428,0.133,350.0,0.735
56,0.55,0.022322,0.033916,0.11222,0.064944,0.047277,0.043,350.0,0.735,0.017784,0.027903,0.091062,0.053239,0.037823,0.065,350.0,0.735,0.01107,0.018998,0.059722,0.035896,0.023826,0.133,350.0,0.735
57,0.56,0.021976,0.033522,0.11075,0.06417,0.046576,0.043,350.0,0.735,0.017489,0.027549,0.089771,0.052549,0.037222,0.065,350.0,0.735,0.010853,0.018702,0.058703,0.035326,0.023376,0.133,350.0,0.735
58,0.5700000000000001,0.021632,0.033131,0.10928,0.0634,0.045878,0.043,350.0,0.735,0.017196,0.027199,0.088488,0.051863,0.036625,0.065,350.0,0.735,0.010637,0.018409,0.057693,0.034763,0.02293,0.133,350.0,0.735
59,0.58,0.021288,0.032741,0.10781,0.062633,0.045182,0.043,350.0,0.735,0.016905,0.02685,0.087212,0.051182,0.03603,0.065,350.0,0.735,0.010424,0.01812,0.056693,0.034205,0.022488,0.133,350.0,0.735
