,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
90,0.89,0.002297,0.008775,0.021289,0.015594,0.0056953,0.14,70.0,0.147,0.72047,0.99
91,0.9,0.0022637,0.008712,0.021094,0.015476,0.0056182,0.14,70.0,0.147,0.72047,0.99
92,0.91,0.0022304,0.0086493,0.020899,0.015359,0.0055406,0.14,70.0,0.147,0.72333,0.99
93,0.92,0.002197,0.0085868,0.020704,0.015242,0.0054624,0.14,70.0,0.147,0.72286,0.99
94,0.93,0.0021637,0.0085246,0.020508,0.015125,0.0053834,0.14,70.0,0.147,0.72876,0.99
95,0.94,0.0021303,0.0084627,0.020312,0.015008,0.0053035,0.14,70.0,0.147,0.73198,0.99
96,0.95,0.0020968,0.0084009,0.020114,0.014891,0.0052223,0.14,70.0,0.147,0.73509,0.99
97,0.96,0.0020633,0.0083394,0.019914,0.014775,0.0051396,0.14,70.0,0.147,0.73962,0.99
98,0.97,0.0020296,0.008278,0.019713,0.014658,0.0050548,0.14,70.0,0.147,0.74093,0.99
99,0.98,0.0019958,0.0082166,0.019508,0.01454,0.0049671,0.14,70.0,0.147,0.74678,0.99
100,0.99,0.0019617,0.0081554,0.019297,0.014422,0.0048752,0.14,70.0,0.147,0.75048,0.99
101,1.0,0.0019271,0.0080908,0.019056,0.014287,0.0047687,0.19,40.0,0.084,0.62947,0.99
102,1.01,0.0019126,0.0080403,0.018905,0.014176,0.0047296,0.19,40.0,0.084,0.62196,0.99
103,1.02,0.0018985,0.0079904,0.018764,0.014071,0.0046926,0.19,40.0,0.084,0.62208,0.99
104,1.03,0.0018845,0.0079409,0.018627,0.01397,0.0046566,0.19,40.0,0.084,0.61892,0.99
105,1.04,0.0018708,0.0078919,0.018492,0.013871,0.0046215,0.19,40.0,0.084,0.62053,0.99
106,1.05,0.0018572,0.0078433,0.018361,0.013774,0.004587,0.19,40.0,0.084,0.61451,0.99
107,1.06,0.0018438,0.0077951,0.018232,0.013679,0.0045532,0.19,40.0,0.084,0.61385,0.99
108,1.07,0.0018305,0.0077473,0.018105,0.013585,0.0045199,0.19,40.0,0.084,0.61498,0.99
109,1.08,0.0018174,0.0076999,0.01798,0.013493,0.0044871,0.19,40.0,0.084,0.61373,0.99
