,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
49,0.48,0.0076814,0.01269,0.040438,0.024018,0.01642,0.12,107.0,0.68694,0.0060948,0.010333,0.03257,0.019499,0.013071,0.14,107.0,0.68694,0.0038899,0.0072688,0.021982,0.013551,0.0084308,0.25,107.0,0.68694
50,0.49,0.0075675,0.012528,0.039889,0.023707,0.016182,0.12,107.0,0.68694,0.0060002,0.010194,0.032104,0.019231,0.012873,0.14,107.0,0.68694,0.0038214,0.0071458,0.021604,0.01332,0.0082836,0.25,107.0,0.68694
51,0.5,0.0074547,0.012368,0.039346,0.023399,0.015947,0.12,107.0,0.68694,0.0059066,0.010055,0.031644,0.018967,0.012677,0.14,107.0,0.68694,0.0037541,0.0070249,0.021232,0.013093,0.0081391,0.25,107.0,0.68694
52,0.51,0.0073429,0.012209,0.038809,0.023094,0.015714,0.12,107.0,0.68694,0.005814,0.0099186,0.031189,0.018706,0.012483,0.14,107.0,0.68694,0.0036879,0.0069061,0.020867,0.01287,0.0079972,0.25,107.0,0.68694
53,0.52,0.0072321,0.012052,0.038277,0.022793,0.015484,0.12,107.0,0.68694,0.0057223,0.0097836,0.03074,0.018448,0.012292,0.14,107.0,0.68694,0.0036228,0.0067893,0.020509,0.012651,0.0078578,0.25,107.0,0.68694
54,0.53,0.0071223,0.011896,0.03775,0.022495,0.015255,0.12,107.0,0.68694,0.0056315,0.0096501,0.030295,0.018193,0.012102,0.14,107.0,0.68694,0.0035588,0.0066744,0.020157,0.012436,0.007721,0.25,107.0,0.68694
55,0.54,0.0070134,0.011742,0.037229,0.022199,0.015029,0.12,107.0,0.68694,0.0055416,0.009518,0.029856,0.017941,0.011915,0.14,107.0,0.68694,0.0034958,0.0065615,0.019811,0.012225,0.0075867,0.25,107.0,0.68694
56,0.55,0.0069056,0.01159,0.036713,0.021907,0.014805,0.12,107.0,0.68694,0.0054526,0.0093876,0.029421,0.017692,0.011729,0.14,107.0,0.68694,0.0034339,0.0064505,0.019472,0.012017,0.0074551,0.25,107.0,0.68694
57,0.56,0.0067986,0.01144,0.036202,0.021618,0.014583,0.12,107.0,0.68694,0.0053645,0.0092586,0.028992,0.017446,0.011546,0.14,107.0,0.68694,0.0033731,0.0063414,0.019139,0.011813,0.0073261,0.25,107.0,0.68694
58,0.5700000000000001,0.0066926,0.01129,0.035696,0.021333,0.014364,0.12,107.0,0.68694,0.0052773,0.0091311,0.028568,0.017202,0.011365,0.14,107.0,0.68694,0.0033134,0.0062343,0.018813,0.011613,0.0072,0.25,107.0,0.68694
59,0.58,0.0065876,0.011143,0.035196,0.02105,0.014147,0.12,107.0,0.68694,0.0051909,0.009005,0.028149,0.016962,0.011186,0.14,107.0,0.68694,0.0032547,0.0061289,0.018494,0.011417,0.007077,0.25,107.0,0.68694
60,0.59,0.0064835,0.010997,0.034702,0.02077,0.013932,0.12,107.0,0.68694,0.0051055,0.0088805,0.027736,0.016725,0.011011,0.14,107.0,0.68694,0.0031972,0.0060256,0.018183,0.011225,0.0069581,0.25,107.0,0.68694
61,0.6,0.0063796,0.010852,0.034212,0.020492,0.01372,0.12,122.0,0.78324,0.0050204,0.008757,0.027329,0.016491,0.010838,0.13,122.0,0.78324,0.0031402,0.0059239,0.017883,0.011038,0.0068451,0.2,122.0,0.78324
62,0.61,0.0062607,0.010692,0.033663,0.020189,0.013475,0.12,122.0,0.78324,0.0049218,0.0086231,0.026874,0.016239,0.010635,0.13,122.0,0.78324,0.003071,0.0058193,0.017552,0.01085,0.0067027,0.2,122.0,0.78324
63,0.62,0.0061425,0.010534,0.033117,0.019886,0.013231,0.12,122.0,0.78324,0.0048237,0.0084903,0.026419,0.015986,0.010433,0.13,122.0,0.78324,0.0030022,0.0057158,0.017218,0.010658,0.0065598,0.2,122.0,0.78324
64,0.63,0.0060252,0.010377,0.032574,0.019585,0.012989,0.12,122.0,0.78324,0.0047262,0.0083588,0.025967,0.015735,0.010232,0.13,122.0,0.78324,0.0029339,0.0056133,0.016885,0.010467,0.0064176,0.2,122.0,0.78324
65,0.64,0.0059087,0.010222,0.032035,0.019287,0.012749,0.12,122.0,0.78324,0.0046294,0.0082286,0.025517,0.015486,0.010032,0.13,122.0,0.78324,0.0028662,0.0055122,0.016554,0.010278,0.0062764,0.2,122.0,0.78324
66,0.65,0.0057931,0.010068,0.031501,0.018991,0.01251,0.12,122.0,0.78324,0.0045333,0.0080995,0.025072,0.015238,0.0098333,0.13,122.0,0.78324,0.002799,0.0054122,0.016226,0.01009,0.0061364,0.2,122.0,0.78324
67,0.66,0.0056782,0.0099156,0.030971,0.018698,0.012273,0.12,122.0,0.78324,0.0044378,0.0079718,0.024629,0.014993,0.0096361,0.13,122.0,0.78324,0.0027325,0.0053136,0.015901,0.0099035,0.0059976,0.2,122.0,0.78324
68,0.67,0.0055642,0.0097647,0.030445,0.018407,0.012038,0.12,122.0,0.78324,0.0043431,0.0078453,0.02419,0.01475,0.0094403,0.13,122.0,0.78324,0.0026666,0.0052162,0.015579,0.0097195,0.00586,0.2,122.0,0.78324
69,0.68,0.005451,0.0096153,0.029923,0.018119,0.011804,0.12,122.0,0.78324,0.004249,0.00772,0.023755,0.014509,0.0092459,0.13,122.0,0.78324,0.0026013,0.0051201,0.015261,0.0095374,0.0057237,0.2,122.0,0.78324
70,0.6900000000000001,0.0053386,0.0094673,0.029406,0.017834,0.011572,0.12,122.0,0.78324,0.0041555,0.0075959,0.023323,0.01427,0.0090527,0.13,122.0,0.78324,0.0025366,0.0050252,0.014946,0.0093575,0.0055886,0.2,122.0,0.78324
71,0.7000000000000001,0.0052269,0.0093206,0.028892,0.017551,0.011342,0.12,122.0,0.78324,0.0040627,0.0074731,0.022894,0.014034,0.0088608,0.13,122.0,0.78324,0.0024725,0.0049315,0.014634,0.0091796,0.0054546,0.2,122.0,0.78324
72,0.71,0.005116,0.0091754,0.028383,0.01727,0.011113,0.12,122.0,0.78324,0.0039704,0.0073514,0.022469,0.013799,0.00867,0.13,122.0,0.78324,0.0024089,0.004839,0.014326,0.0090039,0.0053219,0.2,122.0,0.78324
73,0.72,0.0050059,0.0090314,0.027878,0.016992,0.010885,0.12,122.0,0.78324,0.0038788,0.0072308,0.022047,0.013566,0.0084804,0.13,122.0,0.78324,0.002346,0.0047477,0.01402,0.0088301,0.0051902,0.2,122.0,0.78324
74,0.73,0.0048964,0.0088888,0.027376,0.016717,0.010659,0.12,122.0,0.78324,0.0037878,0.0071114,0.021628,0.013336,0.0082918,0.13,122.0,0.78324,0.0022835,0.0046575,0.013718,0.0086584,0.0050596,0.2,122.0,0.78324
75,0.74,0.0047876,0.0087475,0.026878,0.016444,0.010435,0.12,122.0,0.78324,0.0036972,0.006993,0.021211,0.013107,0.0081041,0.13,122.0,0.78324,0.0022216,0.0045684,0.013419,0.0084886,0.0049299,0.2,122.0,0.78324
76,0.75,0.0046795,0.0086074,0.026384,0.016173,0.010211,0.12,122.0,0.78324,0.0036072,0.0068757,0.020798,0.01288,0.0079172,0.13,122.0,0.78324,0.0021602,0.0044804,0.013122,0.0083207,0.0048011,0.2,122.0,0.78324
77,0.76,0.004572,0.0084685,0.025893,0.015904,0.0099887,0.12,122.0,0.78324,0.0035177,0.0067594,0.020386,0.012655,0.0077307,0.13,122.0,0.78324,0.0020992,0.0043935,0.012828,0.0081547,0.0046729,0.2,122.0,0.78324
78,0.77,0.0044651,0.0083309,0.025404,0.015637,0.0097671,0.12,122.0,0.78324,0.0034286,0.006644,0.019976,0.012432,0.0075445,0.13,122.0,0.78324,0.0020386,0.0043076,0.012535,0.0079903,0.0045452,0.2,122.0,0.78324
79,0.78,0.0043587,0.0081943,0.024918,0.015372,0.0095459,0.12,122.0,0.78324,0.0033398,0.0065296,0.019568,0.01221,0.007358,0.13,122.0,0.78324,0.0019785,0.0042226,0.012245,0.0078275,0.0044176,0.2,122.0,0.78324
80,0.79,0.0042528,0.0080588,0.024434,0.015109,0.0093244,0.12,122.0,0.78324,0.0032513,0.0064159,0.019158,0.011988,0.00717,0.13,122.0,0.78324,0.0019186,0.0041386,0.011955,0.0076658,0.0042893,0.2,122.0,0.78324
81,0.8,0.0041492,0.0079262,0.023954,0.01485,0.0091038,0.11,80.0,0.5136,0.0031642,0.0063038,0.018746,0.011767,0.0069784,0.15,80.0,0.5136,0.00186,0.0040563,0.011665,0.0075058,0.0041596,0.2,80.0,0.5136
82,0.81,0.0040832,0.0078339,0.023632,0.014667,0.0089649,0.11,80.0,0.5136,0.003111,0.0062227,0.018468,0.011604,0.0068643,0.15,80.0,0.5136,0.001824,0.0039971,0.01147,0.0073881,0.0040816,0.2,80.0,0.5136
83,0.8200000000000001,0.0040177,0.0077426,0.023316,0.014488,0.0088281,0.11,80.0,0.5136,0.0030585,0.0061427,0.018199,0.011446,0.0067525,0.15,80.0,0.5136,0.0017884,0.0039388,0.01128,0.0072747,0.0040053,0.2,80.0,0.5136
84,0.8300000000000001,0.0039527,0.0076521,0.023005,0.014312,0.0086924,0.11,80.0,0.5136,0.0030065,0.0060636,0.017934,0.011292,0.0066424,0.15,80.0,0.5136,0.0017533,0.0038813,0.011094,0.0071638,0.0039301,0.2,80.0,0.5136
85,0.84,0.0038881,0.0075624,0.022696,0.014138,0.0085577,0.11,80.0,0.5136,0.0029551,0.0059855,0.017674,0.01114,0.0065335,0.15,80.0,0.5136,0.0017185,0.0038245,0.010911,0.0070549,0.0038558,0.2,80.0,0.5136
86,0.85,0.0038239,0.0074734,0.02239,0.013966,0.008424,0.11,80.0,0.5136,0.0029041,0.0059081,0.017417,0.010991,0.0064257,0.15,80.0,0.5136,0.0016841,0.0037684,0.01073,0.0069477,0.0037823,0.2,80.0,0.5136
