,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
34,0.33,0.030222,0.043048,0.14624,0.082913,0.06333,0.043,350.0,0.224,0.024641,0.036285,0.12148,0.069628,0.051852,0.065,350.0,0.224,0.016378,0.026419,0.085066,0.050194,0.034872,0.133,350.0,0.224,999.0
35,0.34,0.029846,0.042609,0.14461,0.082051,0.062564,0.043,350.0,0.224,0.024309,0.035874,0.12,0.068827,0.051171,0.065,350.0,0.224,0.01611,0.026038,0.083776,0.049463,0.034313,0.133,350.0,0.224,999.0
36,0.35000000000000003,0.029471,0.042172,0.14299,0.081194,0.061801,0.043,350.0,0.224,0.023978,0.035466,0.11853,0.068032,0.050494,0.065,350.0,0.224,0.015844,0.025662,0.0825,0.04874,0.033759,0.133,350.0,0.224,999.0
37,0.36,0.029098,0.041738,0.14138,0.080341,0.061042,0.043,350.0,0.224,0.02365,0.035061,0.11706,0.067242,0.049822,0.065,350.0,0.224,0.015582,0.025291,0.081238,0.048026,0.033212,0.133,350.0,0.224,999.0
38,0.37,0.028726,0.041306,0.13978,0.079493,0.060286,0.043,350.0,0.224,0.023324,0.034659,0.11561,0.066458,0.049154,0.065,350.0,0.224,0.015322,0.024924,0.079991,0.047321,0.03267,0.133,350.0,0.224,999.0
39,0.38,0.028356,0.040876,0.13818,0.078649,0.059534,0.043,350.0,0.224,0.022999,0.034261,0.11417,0.06568,0.048489,0.065,350.0,0.224,0.015064,0.024561,0.078758,0.046623,0.032135,0.133,350.0,0.224,999.0
40,0.39,0.027988,0.040449,0.13659,0.077809,0.058784,0.043,350.0,0.224,0.022677,0.033864,0.11274,0.064907,0.047829,0.065,350.0,0.224,0.01481,0.024202,0.077539,0.045934,0.031604,0.133,350.0,0.224,999.0
41,0.4,0.027621,0.040023,0.13501,0.076974,0.058038,0.043,350.0,0.224,0.022357,0.033471,0.11131,0.06414,0.047173,0.065,350.0,0.224,0.014558,0.023848,0.076333,0.045253,0.03108,0.133,350.0,0.224,999.0
42,0.41000000000000003,0.027255,0.0396,0.13344,0.076143,0.057295,0.043,350.0,0.224,0.022038,0.033081,0.1099,0.063377,0.046521,0.065,350.0,0.224,0.014308,0.023497,0.07514,0.04458,0.03056,0.133,350.0,0.224,999.0
43,0.42,0.026892,0.039179,0.13187,0.075317,0.056556,0.043,350.0,0.224,0.021721,0.032693,0.10849,0.062621,0.045873,0.065,350.0,0.224,0.014061,0.023151,0.073961,0.043914,0.030046,0.133,350.0,0.224,999.0
44,0.43,0.026529,0.038761,0.13031,0.074494,0.055819,0.043,350.0,0.224,0.021406,0.032308,0.1071,0.061869,0.045228,0.065,350.0,0.224,0.013816,0.022809,0.072794,0.043257,0.029537,0.133,350.0,0.224,999.0
45,0.44,0.026168,0.038344,0.12876,0.073675,0.055086,0.043,350.0,0.224,0.021093,0.031925,0.10571,0.061123,0.044587,0.065,350.0,0.224,0.013574,0.022471,0.07164,0.042606,0.029033,0.133,350.0,0.224,999.0
46,0.45,0.025809,0.037929,0.12722,0.072861,0.054355,0.043,350.0,0.224,0.020781,0.031546,0.10433,0.060382,0.04395,0.065,350.0,0.224,0.013334,0.022136,0.070498,0.041963,0.028535,0.133,350.0,0.224,999.0
47,0.46,0.025451,0.037517,0.12568,0.07205,0.053628,0.043,350.0,0.224,0.020472,0.031168,0.10296,0.059645,0.043317,0.065,350.0,0.224,0.013096,0.021805,0.069368,0.041327,0.028041,0.133,350.0,0.224,999.0
48,0.47000000000000003,0.025094,0.037107,0.12415,0.071244,0.052903,0.043,350.0,0.224,0.020164,0.030794,0.1016,0.058914,0.042687,0.065,350.0,0.224,0.012861,0.021478,0.06825,0.040698,0.027552,0.133,350.0,0.224,999.0
49,0.48,0.024738,0.036698,0.12262,0.070441,0.052182,0.043,350.0,0.224,0.019857,0.030422,0.10025,0.058188,0.042061,0.065,350.0,0.224,0.012628,0.021155,0.067144,0.040077,0.027067,0.133,350.0,0.224,999.0
50,0.49,0.024384,0.036292,0.1211,0.069642,0.051463,0.043,350.0,0.224,0.019552,0.030053,0.098905,0.057466,0.041438,0.065,350.0,0.224,0.012397,0.020836,0.066049,0.039462,0.026588,0.133,350.0,0.224,999.0
51,0.5,0.024032,0.035887,0.11959,0.068847,0.050747,0.043,350.0,0.224,0.019249,0.029686,0.097569,0.05675,0.040819,0.065,350.0,0.224,0.012168,0.02052,0.064966,0.038854,0.026112,0.133,350.0,0.224,999.0
52,0.51,0.02368,0.035485,0.11809,0.068056,0.050033,0.043,350.0,0.224,0.018948,0.029321,0.09624,0.056037,0.040203,0.065,350.0,0.224,0.011941,0.020207,0.063894,0.038252,0.025642,0.133,350.0,0.224,999.0
53,0.52,0.02333,0.035085,0.11659,0.067268,0.049323,0.043,350.0,0.224,0.018648,0.028959,0.094921,0.05533,0.03959,0.065,350.0,0.224,0.011716,0.019898,0.062833,0.037657,0.025176,0.133,350.0,0.224,999.0
54,0.53,0.022982,0.034686,0.1151,0.066485,0.048615,0.043,350.0,0.224,0.018349,0.028599,0.093609,0.054627,0.038981,0.065,350.0,0.224,0.011493,0.019592,0.061783,0.037069,0.024714,0.133,350.0,0.224,999.0
55,0.54,0.022634,0.034289,0.11361,0.065705,0.04791,0.043,350.0,0.224,0.018053,0.028242,0.092304,0.053929,0.038375,0.065,350.0,0.224,0.011273,0.01929,0.060743,0.036487,0.024256,0.133,350.0,0.224,999.0
56,0.55,0.022288,0.033894,0.11214,0.064928,0.047207,0.043,350.0,0.224,0.017757,0.027887,0.091008,0.053235,0.037772,0.065,350.0,0.224,0.011054,0.018991,0.059714,0.035911,0.023802,0.133,350.0,0.224,999.0
57,0.56,0.021943,0.033502,0.11066,0.064155,0.046507,0.043,350.0,0.224,0.017463,0.027534,0.089718,0.052546,0.037173,0.065,350.0,0.224,0.010837,0.018695,0.058695,0.035342,0.023353,0.133,350.0,0.224,999.0
