Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
48,0.47,0.0034278386414857685,0.014091897539749076,0.032375437016860256,0.024405647753511485,0.007969789263348763,0.15,70.0,0.147,0.0026705348532330263,0.011482635516761137,0.026311856677941493,0.019926780637776108,0.006385076040165388,0.18,70.0,0.147,0.0016946443467092175,0.008809599976974536,0.01882768715894684,0.014809946751612315,0.004017740407334527,0.25,70.0,0.147,0.99
49,0.48,0.0031288801216922376,0.014052151183140888,0.031664361501932324,0.024202999224576544,0.007461362277355785,0.15,70.0,0.147,0.002771260994360187,0.011151931140130295,0.025880585188829887,0.01932399607800024,0.006556589110829638,0.18,70.0,0.147,0.001577996482093268,0.008781121349217299,0.018536745940482026,0.014754253371020983,0.0037824925694610392,0.25,70.0,0.147,0.99
50,0.49,0.003223171588944604,0.013867406655663599,0.03158690450419859,0.024026246696443886,0.007560657807754711,0.15,70.0,0.147,0.0027219027322038063,0.011152720969983366,0.025810202108325204,0.0193744998771428,0.006435702231182406,0.18,70.0,0.147,0.0014917749000406084,0.008832910056802826,0.018457008596134073,0.014797053767508325,0.0036599548286257483,0.25,70.0,0.147,0.99
51,0.5,0.0034343911175232153,0.013704063543476227,0.031704605340899604,0.02365850235774251,0.0080461029831571,0.15,70.0,0.147,0.0027072918800997397,0.011095516224979188,0.025619481854116225,0.019268169856563887,0.006351311997552333,0.18,70.0,0.147,0.001538512575308851,0.008704329652060363,0.018333939346346622,0.014649665523646346,0.003684273822700272,0.25,70.0,0.147,0.99
52,0.51,0.003179330983430992,0.013602044633976124,0.030948601308499125,0.02343003681629666,0.007518564492202463,0.15,70.0,0.147,0.0025098548834012347,0.011127892876225915,0.02523551163557287,0.019236324462508014,0.005999187173064853,0.18,70.0,0.147,0.0014567946977358571,0.008649394220054174,0.0180373085479339,0.014529396569249774,0.003507911978684126,0.25,70.0,0.147,0.99
53,0.52,0.0031325873992780824,0.013556406828856378,0.03090955029761295,0.0234552133080839,0.007454336989529044,0.15,70.0,0.147,0.002525224559196813,0.011052029461227525,0.02509796876052576,0.019103943803424398,0.005994024957101363,0.18,70.0,0.147,0.0015872263884458596,0.00833599032292562,0.01779873793712109,0.013993035408891694,0.003805702528229399,0.25,70.0,0.147,0.99
54,0.53,0.0033155561362157764,0.013363360715122377,0.0308966059510675,0.02316995882863632,0.0077266471224311725,0.15,70.0,0.147,0.0025648568736051404,0.010890930306970904,0.024994121579561424,0.01887715891035906,0.006116962669202361,0.18,70.0,0.147,0.0015850882773902081,0.00836465288887438,0.017799308162273916,0.014029167427359497,0.0037701407349144157,0.25,70.0,0.147,0.99
55,0.54,0.0030003029356887073,0.013446597197787203,0.030341299653557873,0.02313826306778843,0.007203036585769446,0.15,70.0,0.147,0.0025011640009045756,0.010842085389661544,0.024627681402111877,0.01868877436297327,0.005938907039138603,0.18,70.0,0.147,0.0015389616259351767,0.008241597528994195,0.017473948849932284,0.013839961787478783,0.003633987062453507,0.25,70.0,0.147,0.99
56,0.55,0.0031168375683937486,0.013377065373679293,0.030353225974285872,0.023001600967348185,0.007351625006937686,0.15,70.0,0.147,0.0023119168937009633,0.010846903769219984,0.024340980368835138,0.018676126274148202,0.005664854094686934,0.18,70.0,0.147,0.0015839161509004966,0.008177122349744902,0.017503310299890978,0.013731420982329105,0.0037718893175618705,0.25,70.0,0.147,0.99
57,0.56,0.003065166771520512,0.013215960595464765,0.03007884393929615,0.022821592112594553,0.007257251826701597,0.15,70.0,0.147,0.002312635936029796,0.010814127678667804,0.02415202743055848,0.018583311119638384,0.005568716310920097,0.18,70.0,0.147,0.0014854969068538591,0.00806038840185946,0.01710632092695148,0.013536716511398183,0.003569604415553298,0.25,70.0,0.147,0.99
58,0.57,0.0029033135658259423,0.013259700395663342,0.02971635641122118,0.022811365081770778,0.006904991329450409,0.15,70.0,0.147,0.002469784613369581,0.01044288164404658,0.023878435820773165,0.0180593168945872,0.005819118926185967,0.18,70.0,0.147,0.0013609979084212868,0.00810495861515616,0.016866637661819284,0.013549550269053632,0.0033170873927656527,0.25,70.0,0.147,0.99
59,0.58,0.0028689527472465113,0.013250154865194583,0.02966380150863794,0.022809747367291234,0.006854054141346707,0.15,70.0,0.147,0.0024873551254098875,0.010552299921677943,0.024109139988426835,0.01824255474676992,0.005866585241656912,0.18,70.0,0.147,0.001491744833884116,0.00799672637107505,0.01699294994516474,0.013428819301903433,0.0035641306432613053,0.25,70.0,0.147,0.99
60,0.59,0.0028487275257963168,0.013028935211304176,0.029242661802543438,0.02241831436746095,0.0068243474350824914,0.15,70.0,0.147,0.002469209803795927,0.010305300312194265,0.023677106176570824,0.01780374544639405,0.005873360730176771,0.18,70.0,0.147,0.0014824837540129614,0.007912396897977035,0.016790572262831104,0.013230918204440096,0.00355965405839101,0.25,70.0,0.147,0.99
61,0.6,0.003116232547192293,0.012681172539152262,0.02911034707930404,0.021786143285578263,0.007324203793725777,0.15,70.0,0.147,0.0024165707195592094,0.010240256924866537,0.023426734914298232,0.017677090792915018,0.005749644121383214,0.18,70.0,0.147,0.001517673280453152,0.007787148080883594,0.01662935403684577,0.013068297832615882,0.0035610562042298877,0.25,70.0,0.147,0.99
62,0.61,0.002788121416431178,0.012957042133011607,0.02900510054489895,0.022264398719979803,0.006740701824919143,0.15,70.0,0.147,0.002241939581461252,0.010239216160647737,0.022994753456461927,0.01755666220525941,0.005438091251202517,0.18,70.0,0.147,0.001336826479668165,0.0077718490164633705,0.016228688286182156,0.012995797574232519,0.003232890711949634,0.25,70.0,0.147,0.99
63,0.62,0.002804845805562843,0.012725142666980665,0.02857859160984591,0.0218997696028747,0.006678822006971202,0.15,70.0,0.147,0.00222447179314298,0.010201568792394504,0.02291291332545956,0.01761736144557817,0.00529555187988139,0.18,70.0,0.147,0.0012903601234046744,0.007790623567630116,0.016110648905003144,0.012961674513571088,0.003148974391432059,0.25,70.0,0.147,0.99
64,0.63,0.0028656198601446667,0.012512169525950034,0.028378555075497497,0.021509268469387652,0.006869286606109848,0.15,70.0,0.147,0.0022068680389501845,0.01017214888556567,0.022792994605649684,0.01749094035043963,0.005302054255210046,0.18,70.0,0.147,0.0013848451877340748,0.007601593153059765,0.016049803946519035,0.012740025934048134,0.0033097780124709034,0.25,70.0,0.147,0.99
65,0.64,0.0028710825572249225,0.012452648981884973,0.028296308009714242,0.02150761770102804,0.006788690308686195,0.15,70.0,0.147,0.0021433390310508144,0.010081929492804044,0.022486771330660592,0.01731192496740094,0.005174846363259656,0.18,70.0,0.147,0.0012931600359776172,0.0076609986745110655,0.015918893418314695,0.012775746892352328,0.0031431465259623716,0.25,70.0,0.147,0.99
66,0.65,0.0029652079968286874,0.012293142251393548,0.02819454477632349,0.021216178845113554,0.006978365931209934,0.15,70.0,0.147,0.002160112758743463,0.010011414661596142,0.022435934799068257,0.017259943270202308,0.005175991528865947,0.18,70.0,0.147,0.0012582921838798847,0.007604982591382326,0.01573252635545525,0.012638615052084402,0.0030939113033708484,0.25,70.0,0.147,0.99
67,0.66,0.002559782100662036,0.012504039933735604,0.027746026674146912,0.02149895667577347,0.006247069998373439,0.15,70.0,0.147,0.0020124897708521674,0.010038904271239147,0.022147455290435675,0.01726374820098959,0.004883707089446093,0.18,70.0,0.147,0.0013681835049258175,0.007411388565002313,0.01564763919411296,0.012356981732791247,0.003290657461321714,0.25,70.0,0.147,0.99
68,0.67,0.002559255483764572,0.012283175326451288,0.027312335722869372,0.021093103791090813,0.006219231931778557,0.15,70.0,0.147,0.0021660705763577536,0.009739850174165758,0.02195809872816481,0.016731479798875036,0.005226618929289774,0.18,70.0,0.147,0.0013489822518945249,0.007338627638877992,0.015501958909044825,0.012260261140894234,0.0032416977681505917,0.25,70.0,0.147,0.99
69,0.68,0.00275200745968161,0.012147716894721034,0.027525192683539645,0.02093469988583046,0.006590492797709187,0.15,70.0,0.147,0.002107592021148031,0.009816556455403165,0.022008423110885855,0.01686681387449602,0.005141609236389836,0.18,70.0,0.147,0.0012373938272974775,0.00731879633122072,0.015234545011001759,0.012244550152526444,0.002989994858475312,0.25,70.0,0.147,0.99
70,0.69,0.002675933945580733,0.012012186265242704,0.027115164521541973,0.0206752662335342,0.006439898288007773,0.15,70.0,0.147,0.0019442480454361726,0.009729437354712276,0.021452546932115065,0.0167466828388621,0.004705864093252961,0.18,70.0,0.147,0.0012837421717728512,0.007232941516885974,0.015147741662978442,0.012043844783572774,0.0031038968794056686,0.25,70.0,0.147,0.99
