,depths,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0
122,1.21,0.038997,0.052473,0.18227,0.1014,0.080871,0.05,250.0,0.525
123,1.22,0.038735,0.052119,0.18104,0.10072,0.080326,0.05,250.0,0.525
124,1.23,0.038474,0.051768,0.17982,0.10004,0.079785,0.05,250.0,0.525
125,1.24,0.038214,0.051419,0.17861,0.099363,0.079248,0.05,250.0,0.525
126,1.25,0.037957,0.051073,0.17741,0.098694,0.078714,0.05,250.0,0.525
127,1.26,0.037701,0.050729,0.17621,0.098029,0.078184,0.05,250.0,0.525
128,1.27,0.037447,0.050387,0.17503,0.097368,0.077657,0.05,250.0,0.525
129,1.28,0.037195,0.050047,0.17385,0.096713,0.077134,0.05,250.0,0.525
130,1.29,0.036944,0.04971,0.17268,0.096061,0.076614,0.05,250.0,0.525
131,1.3,0.036696,0.049375,0.17151,0.095414,0.076098,0.05,250.0,0.525
132,1.31,0.036448,0.049042,0.17036,0.094771,0.075585,0.05,250.0,0.525
133,1.32,0.036203,0.048712,0.16921,0.094132,0.075076,0.05,250.0,0.525
134,1.33,0.035959,0.048384,0.16807,0.093498,0.07457,0.05,250.0,0.525
135,1.34,0.035717,0.048058,0.16694,0.092869,0.074068,0.05,250.0,0.525
136,1.35,0.035476,0.047734,0.16581,0.092243,0.073569,0.05,250.0,0.525
137,1.36,0.035237,0.047413,0.16469,0.091621,0.073073,0.05,250.0,0.525
138,1.37,0.035,0.047093,0.16359,0.091004,0.072581,0.05,250.0,0.525
139,1.3800000000000001,0.034764,0.046776,0.16248,0.090391,0.072092,0.05,250.0,0.525
140,1.3900000000000001,0.03453,0.046461,0.16139,0.089782,0.071606,0.05,250.0,0.525
141,1.4000000000000001,0.034297,0.046148,0.1603,0.089177,0.071124,0.05,250.0,0.525
142,1.41,0.034066,0.045837,0.15922,0.088576,0.070645,0.05,250.0,0.525
143,1.42,0.033836,0.045528,0.15815,0.08798,0.070169,0.05,250.0,0.525
144,1.43,0.033608,0.045221,0.15708,0.087387,0.069696,0.05,250.0,0.525
145,1.44,0.033382,0.044917,0.15602,0.086798,0.069226,0.05,250.0,0.525
146,1.45,0.033157,0.044614,0.15497,0.086213,0.06876,0.05,250.0,0.525
147,1.46,0.032934,0.044313,0.15393,0.085633,0.068297,0.05,250.0,0.525
148,1.47,0.032712,0.044015,0.15289,0.085056,0.067837,0.05,250.0,0.525
149,1.48,0.032491,0.043718,0.15186,0.084483,0.06738,0.05,250.0,0.525
150,1.49,0.032273,0.043424,0.15084,0.083914,0.066926,0.05,250.0,0.525
151,1.5,0.032055,0.043131,0.14982,0.083348,0.066475,0.05,250.0,0.525
152,1.51,0.031839,0.042841,0.14881,0.082787,0.066027,0.05,250.0,0.525
153,1.52,0.031625,0.042552,0.14781,0.082229,0.065582,0.05,250.0,0.525
154,1.53,0.031412,0.042266,0.14682,0.081675,0.065141,0.05,250.0,0.525
155,1.54,0.0312,0.041981,0.14583,0.081125,0.064702,0.05,250.0,0.525
156,1.55,0.03099,0.041698,0.14484,0.080578,0.064266,0.05,250.0,0.525
157,1.56,0.030781,0.041417,0.14387,0.080036,0.063833,0.05,250.0,0.525
158,1.57,0.030574,0.041138,0.1429,0.079496,0.063403,0.05,250.0,0.525
159,1.58,0.030368,0.040861,0.14194,0.078961,0.062976,0.05,250.0,0.525
160,1.59,0.030163,0.040586,0.14098,0.078429,0.062551,0.05,250.0,0.525
161,1.6,0.02996,0.040312,0.14003,0.0779,0.06213,0.05,250.0,0.525
162,1.61,0.029758,0.040041,0.13909,0.077375,0.061711,0.05,250.0,0.525
163,1.62,0.029558,0.039771,0.13815,0.076854,0.061296,0.05,250.0,0.525
164,1.6300000000000001,0.029359,0.039503,0.13722,0.076336,0.060883,0.05,250.0,0.525
165,1.6400000000000001,0.029161,0.039237,0.13629,0.075822,0.060473,0.05,250.0,0.525
166,1.6500000000000001,0.028964,0.038972,0.13538,0.075311,0.060065,0.05,250.0,0.525
167,1.6600000000000001,0.028769,0.03871,0.13446,0.074804,0.05966,0.05,250.0,0.525
168,1.67,0.028575,0.038449,0.13356,0.0743,0.059259,0.05,250.0,0.525
169,1.68,0.028383,0.03819,0.13266,0.0738,0.058859,0.05,250.0,0.525
170,1.69,0.028192,0.037933,0.13176,0.073302,0.058463,0.05,250.0,0.525
171,1.7,0.028002,0.037677,0.13088,0.072809,0.058069,0.05,250.0,0.525
172,1.71,0.027813,0.037423,0.13,0.072318,0.057678,0.05,250.0,0.525
173,1.72,0.027626,0.037171,0.12912,0.071831,0.057289,0.05,250.0,0.525
174,1.73,0.02744,0.036921,0.12825,0.071347,0.056903,0.05,250.0,0.525
175,1.74,0.027255,0.036672,0.12739,0.070866,0.05652,0.05,250.0,0.525
