,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eu_600.0,Ed_600.0,Eo_600.0
0,0.0,0.088207,0.11663,0.38573,0.079284,0.10758,0.35193,0.069492,0.098604,0.31668
1,0.03,0.17628,0.20464,0.78726,0.15837,0.1866,0.71119,0.13868,0.16774,0.62891
2,0.06,0.14304,0.1705,0.63512,0.12595,0.15293,0.56485,0.10643,0.13354,0.48593
3,0.09,0.11082,0.13756,0.50312,0.094599,0.12059,0.43583,0.075465,0.10109,0.35748
4,0.12000000000000001,0.098026,0.12415,0.4496,0.082267,0.10745,0.38364,0.063478,0.087938,0.30575
5,0.15000000000000002,0.094144,0.1197,0.43267,0.078628,0.10306,0.36732,0.060101,0.083506,0.28987
6,0.18000000000000002,0.090348,0.11536,0.41619,0.075102,0.098812,0.35158,0.056878,0.079283,0.2748
7,0.21000000000000002,0.086631,0.11112,0.40007,0.071676,0.0947,0.33633,0.053793,0.075248,0.26041
8,0.24000000000000002,0.082987,0.10697,0.3843,0.068345,0.090713,0.32154,0.050834,0.071391,0.24665
9,0.27,0.079414,0.10291,0.36886,0.065104,0.086844,0.30716,0.047994,0.0677,0.23347
10,0.30000000000000004,0.075907,0.098939,0.35373,0.061948,0.083088,0.29319,0.045265,0.064167,0.22083
11,0.33000000000000007,0.072464,0.09505,0.3389,0.058872,0.079441,0.2796,0.042642,0.060783,0.20871
12,0.36,0.069082,0.09124,0.32435,0.055873,0.075897,0.26637,0.040118,0.05754,0.19707
13,0.39,0.065757,0.087508,0.31007,0.052947,0.072452,0.25349,0.037687,0.05443,0.18589
14,0.42000000000000004,0.062487,0.083848,0.29605,0.050089,0.069101,0.24094,0.035344,0.051447,0.17514
15,0.45000000000000007,0.059271,0.080258,0.28228,0.047297,0.06584,0.2287,0.033083,0.048583,0.1648
16,0.48,0.056103,0.076736,0.26875,0.044566,0.062665,0.21677,0.030898,0.045832,0.15484
17,0.51,0.052983,0.073278,0.25544,0.041894,0.059571,0.20511,0.028785,0.043187,0.14524
18,0.54,0.049907,0.069882,0.24234,0.039275,0.056555,0.19372,0.026739,0.040643,0.13597
19,0.5700000000000001,0.046873,0.066544,0.22945,0.036708,0.053612,0.18258,0.024755,0.038193,0.12703
20,0.6000000000000001,0.043878,0.063261,0.21675,0.034189,0.050739,0.17168,0.022828,0.035831,0.11837
21,0.6300000000000001,0.040919,0.060032,0.20423,0.031714,0.047932,0.161,0.020954,0.033553,0.10999
22,0.66,0.037995,0.056853,0.19188,0.02928,0.045187,0.15053,0.019129,0.031352,0.10187
23,0.6900000000000001,0.035102,0.053721,0.17969,0.026884,0.042501,0.14025,0.017348,0.029224,0.093971
24,0.7200000000000001,0.032238,0.050632,0.16764,0.024521,0.039868,0.13014,0.015605,0.027162,0.086282
25,0.7500000000000001,0.029397,0.047584,0.1557,0.022188,0.037285,0.12018,0.013895,0.025159,0.078761
26,0.7800000000000001,0.026574,0.044567,0.14381,0.019873,0.03474,0.11027,0.012207,0.023205,0.071318
27,0.81,0.024522,0.042279,0.13479,0.018204,0.032791,0.10267,0.011004,0.021683,0.065504
28,0.8400000000000001,0.023847,0.041433,0.13167,0.017672,0.032057,0.10006,0.010642,0.021092,0.063523
29,0.8700000000000001,0.023181,0.040598,0.12861,0.01715,0.031337,0.09752,0.01029,0.020518,0.061625
30,0.9000000000000001,0.022521,0.039775,0.12559,0.016635,0.03063,0.095035,0.0099465,0.01996,0.059791
31,0.93,0.021867,0.038961,0.12262,0.016127,0.029934,0.092597,0.0096106,0.019415,0.058009
