,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
34,0.33,0.027914,0.041312,0.13786,0.079146,0.058718,0.043,350.0,1.2985,0.02281,0.034951,0.11479,0.066652,0.048139,0.065,350.0,1.2985,0.015216,0.02566,0.08072,0.04832,0.0324,0.133,350.0,1.2985,999.0
35,0.34,0.027575,0.040914,0.13639,0.078363,0.058027,0.043,350.0,1.2985,0.022511,0.034579,0.11345,0.065923,0.047526,0.065,350.0,1.2985,0.014976,0.025313,0.079551,0.047652,0.0319,0.133,350.0,1.2985,999.0
36,0.35000000000000003,0.027237,0.040518,0.13492,0.077584,0.05734,0.043,350.0,1.2985,0.022214,0.034208,0.11212,0.0652,0.046918,0.065,350.0,1.2985,0.014738,0.024971,0.078397,0.046992,0.031405,0.133,350.0,1.2985,999.0
37,0.36,0.026901,0.040123,0.13347,0.07681,0.056655,0.043,350.0,1.2985,0.021919,0.03384,0.11079,0.064482,0.046313,0.065,350.0,1.2985,0.014503,0.024632,0.077255,0.04634,0.030915,0.133,350.0,1.2985,999.0
38,0.37,0.026565,0.039731,0.13201,0.07604,0.055974,0.043,350.0,1.2985,0.021625,0.033475,0.10948,0.063769,0.045712,0.065,350.0,1.2985,0.01427,0.024297,0.076127,0.045696,0.030431,0.133,350.0,1.2985,999.0
39,0.38,0.026231,0.039341,0.13057,0.075274,0.055295,0.043,350.0,1.2985,0.021333,0.033112,0.10818,0.063061,0.045114,0.065,350.0,1.2985,0.014039,0.023965,0.075011,0.04506,0.029951,0.133,350.0,1.2985,999.0
40,0.39,0.025899,0.038952,0.12913,0.074511,0.054619,0.043,350.0,1.2985,0.021043,0.032752,0.10688,0.062359,0.04452,0.065,350.0,1.2985,0.01381,0.023638,0.073907,0.044431,0.029476,0.133,350.0,1.2985,999.0
41,0.4,0.025567,0.038566,0.1277,0.073752,0.053946,0.043,350.0,1.2985,0.020754,0.032394,0.10559,0.061661,0.04393,0.065,350.0,1.2985,0.013584,0.023314,0.072816,0.04381,0.029006,0.133,350.0,1.2985,999.0
42,0.41000000000000003,0.025237,0.038181,0.12627,0.072998,0.053276,0.043,350.0,1.2985,0.020466,0.032039,0.10431,0.060968,0.043342,0.065,350.0,1.2985,0.013359,0.022993,0.071736,0.043195,0.028541,0.133,350.0,1.2985,999.0
43,0.42,0.024909,0.037799,0.12485,0.072246,0.052608,0.043,350.0,1.2985,0.02018,0.031686,0.10304,0.06028,0.042758,0.065,350.0,1.2985,0.013137,0.022676,0.070668,0.042588,0.02808,0.133,350.0,1.2985,999.0
44,0.43,0.024581,0.037418,0.12344,0.071499,0.051943,0.043,350.0,1.2985,0.019896,0.031335,0.10177,0.059596,0.042177,0.065,350.0,1.2985,0.012917,0.022363,0.06961,0.041987,0.027623,0.133,350.0,1.2985,999.0
45,0.44,0.024254,0.037038,0.12203,0.070755,0.05128,0.043,350.0,1.2985,0.019613,0.030986,0.10052,0.058917,0.041599,0.065,350.0,1.2985,0.012698,0.022052,0.068564,0.041393,0.02717,0.133,350.0,1.2985,999.0
46,0.45,0.023929,0.036661,0.12063,0.070015,0.050619,0.043,350.0,1.2985,0.019332,0.03064,0.099267,0.058243,0.041024,0.065,350.0,1.2985,0.012482,0.021746,0.067528,0.040806,0.026722,0.133,350.0,1.2985,999.0
47,0.46,0.023605,0.036285,0.11924,0.069278,0.049961,0.043,350.0,1.2985,0.019051,0.030296,0.098025,0.057572,0.040453,0.065,350.0,1.2985,0.012267,0.021442,0.066503,0.040225,0.026278,0.133,350.0,1.2985,999.0
48,0.47000000000000003,0.023282,0.035911,0.11785,0.068544,0.049306,0.043,350.0,1.2985,0.018773,0.029954,0.09679,0.056907,0.039884,0.065,350.0,1.2985,0.012055,0.021141,0.065488,0.03965,0.025838,0.133,350.0,1.2985,999.0
49,0.48,0.02296,0.035539,0.11647,0.067814,0.048653,0.043,350.0,1.2985,0.018495,0.029614,0.095563,0.056245,0.039318,0.065,350.0,1.2985,0.011844,0.020844,0.064483,0.039081,0.025401,0.133,350.0,1.2985,999.0
50,0.49,0.022639,0.035169,0.11509,0.067087,0.048002,0.043,350.0,1.2985,0.018219,0.029276,0.094342,0.055587,0.038755,0.065,350.0,1.2985,0.011635,0.02055,0.063488,0.038519,0.024969,0.133,350.0,1.2985,999.0
51,0.5,0.022319,0.0348,0.11372,0.066363,0.047354,0.043,350.0,1.2985,0.017945,0.028941,0.093129,0.054934,0.038195,0.065,350.0,1.2985,0.011427,0.020259,0.062502,0.037962,0.02454,0.133,350.0,1.2985,999.0
52,0.51,0.022001,0.034433,0.11235,0.065643,0.046707,0.043,350.0,1.2985,0.017671,0.028607,0.091922,0.054285,0.037637,0.065,350.0,1.2985,0.011222,0.019971,0.061526,0.037411,0.024115,0.133,350.0,1.2985,999.0
53,0.52,0.021683,0.034067,0.11099,0.064926,0.046063,0.043,350.0,1.2985,0.017399,0.028276,0.090722,0.053639,0.037082,0.065,350.0,1.2985,0.011018,0.019686,0.060559,0.036866,0.023694,0.133,350.0,1.2985,999.0
54,0.53,0.021367,0.033703,0.10963,0.064211,0.045422,0.043,350.0,1.2985,0.017129,0.027946,0.089528,0.052998,0.03653,0.065,350.0,1.2985,0.010815,0.019403,0.059602,0.036326,0.023276,0.133,350.0,1.2985,999.0
55,0.54,0.021051,0.033341,0.10828,0.0635,0.044782,0.043,350.0,1.2985,0.016859,0.027619,0.088341,0.05236,0.035981,0.065,350.0,1.2985,0.010615,0.019124,0.058653,0.035792,0.022862,0.133,350.0,1.2985,999.0
56,0.55,0.020736,0.03298,0.10694,0.062792,0.044144,0.043,350.0,1.2985,0.01659,0.027294,0.08716,0.051727,0.035434,0.065,350.0,1.2985,0.010415,0.018848,0.057713,0.035263,0.02245,0.133,350.0,1.2985,999.0
57,0.56,0.020423,0.03262,0.1056,0.062087,0.043508,0.043,350.0,1.2985,0.016323,0.02697,0.085986,0.051096,0.034889,0.065,350.0,1.2985,0.010218,0.018574,0.056782,0.034739,0.022043,0.133,350.0,1.2985,999.0
58,0.5700000000000001,0.02011,0.032263,0.10426,0.061385,0.042875,0.043,350.0,1.2985,0.016057,0.026649,0.084817,0.05047,0.034347,0.065,350.0,1.2985,0.010022,0.018303,0.055859,0.034221,0.021638,0.133,350.0,1.2985,999.0
59,0.58,0.019798,0.031907,0.10293,0.060686,0.042243,0.043,350.0,1.2985,0.015792,0.026329,0.083655,0.049847,0.033807,0.065,350.0,1.2985,0.009827,0.018035,0.054944,0.033707,0.021237,0.133,350.0,1.2985,999.0
60,0.59,0.019488,0.031552,0.1016,0.059989,0.041613,0.043,350.0,1.2985,0.015528,0.026011,0.082498,0.049228,0.03327,0.065,350.0,1.2985,0.0096338,0.017769,0.054037,0.033199,0.020838,0.133,350.0,1.2985,999.0
61,0.6,0.019178,0.031198,0.10028,0.059296,0.040985,0.043,350.0,1.2985,0.015266,0.025695,0.081348,0.048612,0.032735,0.065,350.0,1.2985,0.009442,0.017506,0.053138,0.032696,0.020443,0.133,350.0,1.2985,999.0
62,0.61,0.018869,0.030847,0.098964,0.058605,0.040359,0.043,350.0,1.2985,0.015004,0.025381,0.080203,0.048,0.032202,0.065,350.0,1.2985,0.0092515,0.017245,0.052247,0.032197,0.02005,0.133,350.0,1.2985,999.0
63,0.62,0.018561,0.030496,0.097652,0.057917,0.039735,0.043,350.0,1.2985,0.014744,0.025069,0.079063,0.047391,0.031672,0.065,350.0,1.2985,0.0090625,0.016987,0.051364,0.031703,0.019661,0.133,350.0,1.2985,999.0
64,0.63,0.018253,0.030147,0.096344,0.057231,0.039113,0.043,350.0,1.2985,0.014484,0.024758,0.077929,0.046786,0.031143,0.065,350.0,1.2985,0.0088747,0.016732,0.050488,0.031214,0.019274,0.133,350.0,1.2985,999.0
65,0.64,0.017947,0.0298,0.09504,0.056549,0.038492,0.043,350.0,1.2985,0.014225,0.02445,0.0768,0.046184,0.030617,0.065,350.0,1.2985,0.0086882,0.016479,0.049619,0.030729,0.018889,0.133,350.0,1.2985,999.0
66,0.65,0.017641,0.029454,0.093741,0.055868,0.037872,0.043,350.0,1.2985,0.013968,0.024143,0.075677,0.045585,0.030092,0.065,350.0,1.2985,0.008503,0.016228,0.048757,0.030249,0.018508,0.133,350.0,1.2985,999.0
67,0.66,0.017336,0.029109,0.092446,0.055191,0.037255,0.043,350.0,1.2985,0.013711,0.023837,0.074559,0.044989,0.02957,0.065,350.0,1.2985,0.008319,0.01598,0.047902,0.029774,0.018129,0.133,350.0,1.2985,999.0
68,0.67,0.017032,0.028765,0.091154,0.054516,0.036639,0.043,350.0,1.2985,0.013456,0.023533,0.073445,0.044396,0.029049,0.065,350.0,1.2985,0.0081361,0.015734,0.047054,0.029302,0.017752,0.133,350.0,1.2985,999.0
69,0.68,0.016729,0.028423,0.089867,0.053843,0.036024,0.043,350.0,1.2985,0.013201,0.023231,0.072337,0.043807,0.02853,0.065,350.0,1.2985,0.0079545,0.01549,0.046212,0.028835,0.017377,0.133,350.0,1.2985,999.0
70,0.6900000000000001,0.016426,0.028082,0.088584,0.053173,0.035411,0.043,350.0,1.2985,0.012947,0.022931,0.071233,0.04322,0.028013,0.065,350.0,1.2985,0.0077739,0.015249,0.045377,0.028372,0.017005,0.133,350.0,1.2985,999.0
71,0.7000000000000001,0.016125,0.027743,0.087304,0.052505,0.034799,0.043,350.0,1.2985,0.012694,0.022632,0.070134,0.042636,0.027498,0.065,350.0,1.2985,0.0075944,0.01501,0.044547,0.027912,0.016635,0.133,350.0,1.2985,999.0
72,0.71,0.015824,0.027404,0.086028,0.051839,0.034188,0.043,350.0,1.2985,0.012442,0.022335,0.069039,0.042055,0.026984,0.065,350.0,1.2985,0.007416,0.014773,0.043724,0.027457,0.016267,0.133,350.0,1.2985,999.0
73,0.72,0.015523,0.027067,0.084755,0.051176,0.033579,0.043,350.0,1.2985,0.012191,0.022039,0.067948,0.041477,0.026471,0.065,350.0,1.2985,0.0072386,0.014538,0.042906,0.027006,0.0159,0.133,350.0,1.2985,999.0
74,0.73,0.015223,0.026731,0.083486,0.050515,0.032971,0.043,350.0,1.2985,0.01194,0.021745,0.066862,0.040902,0.02596,0.065,350.0,1.2985,0.0070621,0.014305,0.042094,0.026558,0.015536,0.133,350.0,1.2985,999.0
75,0.74,0.014924,0.026397,0.082219,0.049856,0.032363,0.043,350.0,1.2985,0.01169,0.021452,0.065779,0.040329,0.02545,0.065,350.0,1.2985,0.0068865,0.014074,0.041286,0.026114,0.015173,0.133,350.0,1.2985,999.0
76,0.75,0.014626,0.026063,0.080955,0.049199,0.031757,0.043,350.0,1.2985,0.011441,0.021161,0.0647,0.039759,0.024941,0.065,350.0,1.2985,0.0067119,0.013845,0.040484,0.025673,0.014811,0.133,350.0,1.2985,999.0
