,depths,Eu_484.0,Ed_484.0,Eo_484.0,Eod_484.0,Eou_484.0,a_484.0,b_484.0,bb_484.0
266,2.65,0.28287,0.31501,1.194,0.62127,0.57273,0.0136,60.0,1.3764
267,2.66,0.28144,0.31343,1.188,0.61814,0.56984,0.0136,60.0,1.3764
268,2.67,0.28002,0.31185,1.182,0.61502,0.56697,0.0136,60.0,1.3764
269,2.68,0.27861,0.31027,1.176,0.61192,0.56412,0.0136,60.0,1.3764
270,2.69,0.27721,0.30871,1.1701,0.60884,0.56127,0.0136,60.0,1.3764
271,2.7,0.27581,0.30715,1.1642,0.60577,0.55844,0.0136,60.0,1.3764
272,2.71,0.27442,0.30561,1.1583,0.60272,0.55563,0.0136,60.0,1.3764
273,2.72,0.27304,0.30407,1.1525,0.59968,0.55283,0.0136,60.0,1.3764
274,2.73,0.27166,0.30253,1.1467,0.59666,0.55004,0.0136,60.0,1.3764
275,2.74,0.27029,0.30101,1.1409,0.59365,0.54727,0.0136,60.0,1.3764
276,2.75,0.26893,0.29949,1.1352,0.59066,0.54451,0.0136,60.0,1.3764
277,2.7600000000000002,0.26757,0.29798,1.1294,0.58768,0.54176,0.0136,60.0,1.3764
278,2.77,0.26622,0.29648,1.1238,0.58472,0.53903,0.0136,60.0,1.3764
279,2.7800000000000002,0.26488,0.29499,1.1181,0.58177,0.53632,0.0136,60.0,1.3764
280,2.79,0.26355,0.2935,1.1125,0.57884,0.53362,0.0136,60.0,1.3764
281,2.8000000000000003,0.26222,0.29202,1.1068,0.57592,0.53092,0.0136,60.0,1.3764
282,2.81,0.2609,0.29055,1.1013,0.57302,0.52825,0.0136,60.0,1.3764
283,2.82,0.25958,0.28908,1.0957,0.57013,0.52559,0.0136,60.0,1.3764
284,2.83,0.25827,0.28763,1.0902,0.56726,0.52294,0.0136,60.0,1.3764
285,2.84,0.25697,0.28618,1.0847,0.5644,0.5203,0.0136,60.0,1.3764
286,2.85,0.25568,0.28473,1.0792,0.56155,0.51768,0.0136,60.0,1.3764
287,2.86,0.25439,0.2833,1.0738,0.55872,0.51507,0.0136,60.0,1.3764
288,2.87,0.2531,0.28187,1.0684,0.55591,0.51247,0.0136,60.0,1.3764
289,2.88,0.25183,0.28045,1.063,0.5531,0.50989,0.0136,60.0,1.3764
290,2.89,0.25056,0.27904,1.0576,0.55032,0.50732,0.0136,60.0,1.3764
291,2.9,0.2493,0.27763,1.0523,0.54754,0.50476,0.0136,60.0,1.3764
292,2.91,0.24804,0.27623,1.047,0.54478,0.50222,0.0136,60.0,1.3764
293,2.92,0.24679,0.27484,1.0417,0.54204,0.49969,0.0136,60.0,1.3764
294,2.93,0.24555,0.27345,1.0365,0.5393,0.49717,0.0136,60.0,1.3764
295,2.94,0.24431,0.27207,1.0313,0.53659,0.49466,0.0136,60.0,1.3764
296,2.95,0.24308,0.2707,1.0261,0.53388,0.49217,0.0136,60.0,1.3764
297,2.96,0.24185,0.26934,1.0209,0.53119,0.48969,0.0136,60.0,1.3764
298,2.97,0.24063,0.26798,1.0157,0.52851,0.48722,0.0136,60.0,1.3764
299,2.98,0.23942,0.26663,1.0106,0.52585,0.48476,0.0136,60.0,1.3764
300,2.99,0.23821,0.26529,1.0055,0.5232,0.48232,0.0136,60.0,1.3764
301,3.0,0.23701,0.26395,1.0005,0.52056,0.47989,0.0136,60.0,1.3764
